OSNR,Epsilon,Min Samples,log10(BER)
18.0,0.1,300.0,-0.2039572484619633
18.0,0.1,500.0,-0.2039572484619633
18.0,0.1,630.0,-0.2039572484619633
18.0,0.1,750.0,-0.2039572484619633
18.0,0.2,300.0,-0.4914070748403042
18.0,0.2,500.0,-0.2039572484619633
18.0,0.2,630.0,-0.2039572484619633
18.0,0.2,750.0,-0.2039572484619633
18.0,0.3,300.0,-0.301620818287704
18.0,0.3,500.0,-0.301644787517622
18.0,0.3,630.0,-0.5994072261997984
18.0,0.3,750.0,-0.493222809041494
18.0,0.4,300.0,-0.301620818287704
18.0,0.4,500.0,-0.301620818287704
18.0,0.4,630.0,-0.301620818287704
18.0,0.4,750.0,-0.301620818287704
19.0,0.1,300.0,-0.20379616976313358
19.0,0.1,500.0,-0.20379616976313358
19.0,0.1,630.0,-0.20379616976313358
19.0,0.1,750.0,-0.20379616976313358
19.0,0.2,300.0,-0.4975070485059995
19.0,0.2,500.0,-0.49690852508160144
19.0,0.2,630.0,-0.20379616976313358
19.0,0.2,750.0,-0.20379616976313358
19.0,0.3,300.0,-0.30154093040750457
19.0,0.3,500.0,-0.2753097388659409
19.0,0.3,630.0,-0.372348078444694
19.0,0.3,750.0,-0.4604392720362444
19.0,0.4,300.0,-0.30154093040750457
19.0,0.4,500.0,-0.30154093040750457
19.0,0.4,630.0,-0.30154093040750457
19.0,0.4,750.0,-0.30154093040750457
20.0,0.1,300.0,-0.2038487928661305
20.0,0.1,500.0,-0.2038487928661305
20.0,0.1,630.0,-0.2038487928661305
20.0,0.1,750.0,-0.2038487928661305
20.0,0.2,300.0,-0.5437784158157644
20.0,0.2,500.0,-0.5383669761348224
20.0,0.2,630.0,-0.2989247506472778
20.0,0.2,750.0,-0.2038487928661305
20.0,0.3,300.0,-0.30073289218570487
20.0,0.3,500.0,-0.23050756849715623
20.0,0.3,630.0,-0.5878612491537042
20.0,0.3,750.0,-0.5433042608998893
20.0,0.4,300.0,-0.30073289218570487
20.0,0.4,500.0,-0.30073289218570487
20.0,0.4,630.0,-0.30073289218570487
20.0,0.4,750.0,-0.30073289218570487
21.5,0.1,300.0,-0.20390780211052578
21.5,0.1,500.0,-0.20390780211052578
21.5,0.1,630.0,-0.20390780211052578
21.5,0.1,750.0,-0.20390780211052578
21.5,0.2,300.0,-0.5044197472181594
21.5,0.2,500.0,-0.9991690200851803
21.5,0.2,630.0,-0.8775502443470309
21.5,0.2,750.0,-0.8796240088687091
21.5,0.3,300.0,-0.30128937959384383
21.5,0.3,500.0,-0.3579973244107681
21.5,0.3,630.0,-0.597567386579952
21.5,0.3,750.0,-0.42715384919424515
21.5,0.4,300.0,-0.30128937959384383
21.5,0.4,500.0,-0.30128937959384383
21.5,0.4,630.0,-0.30128937959384383
21.5,0.4,750.0,-0.30105592708676865
23.0,0.1,300.0,-0.4544004765487539
23.0,0.1,500.0,-0.20373558136030562
23.0,0.1,630.0,-0.20373558136030562
23.0,0.1,750.0,-0.20373558136030562
23.0,0.2,300.0,-0.46391689570726585
23.0,0.2,500.0,-0.7228221001252529
23.0,0.2,630.0,-0.7991897789323996
