OSNR,Max Depth,Min Samples Split,log10(BER)
18.0,4.0,20.0,-1.3390597944915328
18.0,4.0,40.0,-1.3390597944915328
18.0,4.0,80.0,-1.3390597944915328
18.0,4.0,160.0,-1.3390597944915328
18.0,4.0,320.0,-1.3390597944915328
18.0,5.0,20.0,-1.3390597944915328
18.0,5.0,40.0,-1.3390597944915328
18.0,5.0,80.0,-1.3390597944915328
18.0,5.0,160.0,-1.3390597944915328
18.0,5.0,320.0,-1.3390597944915328
18.0,6.0,20.0,-1.3407504011268394
18.0,6.0,40.0,-1.3407504011268394
18.0,6.0,80.0,-1.3407504011268394
18.0,6.0,160.0,-1.3407504011268394
18.0,6.0,320.0,-1.3407504011268394
18.0,7.0,20.0,-1.3386789537062982
18.0,7.0,40.0,-1.3386789537062982
18.0,7.0,80.0,-1.3389509487561502
18.0,7.0,160.0,-1.3372673189430784
18.0,7.0,320.0,-1.3394409695361669
18.0,8.0,20.0,-1.3339195144903213
18.0,8.0,40.0,-1.333113424148334
18.0,8.0,80.0,-1.334996634293204
18.0,8.0,160.0,-1.334350041893017
18.0,8.0,320.0,-1.338352784346691
19.0,4.0,20.0,-1.5140366758817403
19.0,4.0,40.0,-1.5140366758817403
19.0,4.0,80.0,-1.5140366758817403
19.0,4.0,160.0,-1.5140366758817403
19.0,4.0,320.0,-1.5140366758817403
19.0,5.0,20.0,-1.514933389349247
19.0,5.0,40.0,-1.514933389349247
19.0,5.0,80.0,-1.514933389349247
19.0,5.0,160.0,-1.514933389349247
19.0,5.0,320.0,-1.514933389349247
19.0,6.0,20.0,-1.5157501932046558
19.0,6.0,40.0,-1.5157501932046558
19.0,6.0,80.0,-1.5157501932046558
19.0,6.0,160.0,-1.5156684436548797
19.0,6.0,320.0,-1.517716813087033
19.0,7.0,20.0,-1.5147702127619793
19.0,7.0,40.0,-1.514933389349247
19.0,7.0,80.0,-1.514362539323705
19.0,7.0,160.0,-1.5150966272695687
19.0,7.0,320.0,-1.5164866324460542
