OSNR,N Estimators,log10(BER)
18.0,10.0,-1.3459173626302174
18.0,50.0,-1.346913832241918
18.0,100.0,-1.3443718290350326
18.0,200.0,-1.3458067847857236
18.0,500.0,-1.3459173626302174
19.0,10.0,-1.5199399577674577
19.0,50.0,-1.5205181911145653
19.0,100.0,-1.5206008587615083
19.0,200.0,-1.5211799733102822
19.0,500.0,-1.5211799733102822
20.0,10.0,-1.6251633766899147
20.0,50.0,-1.6268495500554419
20.0,100.0,-1.6265328934742216
20.0,200.0,-1.6260056450400286
20.0,500.0,-1.6265328934742216
21.5,10.0,-2.037703343426134
21.5,50.0,-2.042626129556323
21.5,100.0,-2.0385199425045233
21.5,200.0,-2.0429012606912154
21.5,500.0,-2.0385199425045233
23.0,10.0,-2.383072994845188
23.0,50.0,-2.3854891038968167
23.0,100.0,-2.3977754814666077
23.0,200.0,-2.39036202438155
23.0,500.0,-2.3873100477884424
25.0,10.0,-2.7159634525277716
25.0,50.0,-2.709529342522362
25.0,100.0,-2.706982153508482
25.0,200.0,-2.718564026058297
25.0,500.0,-2.721180265788898
27.0,10.0,-3.0887199151815605
27.0,50.0,-3.091789146909237
27.0,100.0,-3.10428769240821
27.0,200.0,-3.097993459310522
27.0,500.0,-3.10428769240821
30.0,10.0,-3.5597670221890296
30.0,50.0,-3.5689104016288993
30.0,100.0,-3.578250427883043
30.0,200.0,-3.5689104016288993
30.0,500.0,-3.5597670221890296
32.0,10.0,-3.542038255228598
32.0,50.0,-3.542038255228598
32.0,100.0,-3.5508121795361034
32.0,200.0,-3.5334380834666805
32.0,500.0,-3.5334380834666805
35.0,10.0,-3.6177589691667165
35.0,50.0,-3.7224943196867293
35.0,100.0,-3.7224943196867293
35.0,200.0,-3.7224943196867293
35.0,500.0,-3.7224943196867293
40.0,10.0,-3.8430682508925793
40.0,50.0,-3.8096444954056294
40.0,100.0,-3.8096444954056294
40.0,200.0,-3.8096444954056294
40.0,500.0,-3.793850228222398
